Date,AAPL,MSFT,AMZN,GOOG,META
2015-01-02,24.2374,40.1536,15.426,26.2405,78.45
2015-01-05,23.5555,39.7826,15.1095,25.6935,77.19
2015-01-06,23.5575,39.1972,14.7645,25.098,76.15
2015-01-07,23.8917,39.6975,14.921,25.055,76.15
2015-01-08,24.8079,40.8676,15.023,25.134,78.18
2015-01-09,24.8346,40.5217,14.8465,24.8085,77.74
2015-01-12,24.2175,40.0159,14.5705,24.6275,76.72
2015-01-13,24.4406,39.7969,14.737,24.809,76.45
2015-01-14,24.3463,39.464,14.6635,25.0435,76.28
2015-01-15,23.6814,39.0537,14.3475,25.0895,74.05
2015-01-16,23.4937,39.7073,14.537,25.404,75.18
2015-01-20,24.0979,39.8352,14.472,25.345,76.24
2015-01-21,24.2904,39.431,14.8625,25.902,76.74
2015-01-22,24.9179,40.4709,15.516,26.7195,77.65
2015-01-23,25.0484,40.513,15.6195,26.9975,77.83
2015-01-26,25.0722,40.3686,15.483,26.7605,77.5
2015-01-27,24.1931,36.6306,15.3375,25.9315,75.78
2015-01-28,25.5641,35.3687,15.1955,25.5,76.24
2015-01-29,26.3637,36.0729,15.589,25.533,78.0
2015-01-30,25.9767,34.6947,17.7265,26.726,75.91
2015-02-02,26.2968,35.4467,18.2235,26.424,74.99
2015-02-03,26.3018,35.7213,18.1775,26.462,75.4
2015-02-04,26.5003,35.9273,18.2375,26.138,75.63
2015-02-05,26.6945,36.4508,18.6945,26.379,75.61
2015-02-06,26.4628,36.4177,18.714,26.55,74.47
2015-02-09,26.6436,36.3747,18.528,26.3915,74.44
2015-02-10,27.1562,36.5788,18.6495,26.847,75.19
2015-02-11,27.7907,36.3913,18.757,26.7985,76.51
2015-02-12,28.1471,37.0016,18.8585,27.1465,76.23
2015-02-13,28.2818,37.6698,19.0915,27.4505,75.74
2015-02-17,28.4538,37.6855,18.7715,27.142,75.6
2015-02-18,28.6452,37.6433,18.6685,26.985,76.71
2015-02-19,28.5863,37.621,18.9495,27.1435,79.42
2015-02-20,28.8239,37.9228,19.183,26.9475,79.89
